t,y,vy,ay
33.339,,,
33.360,,,
33.381,,,
33.403,,,
33.424,,,
33.445,,,
33.467,,,
33.488,,,
33.509,,,
33.531,,,
33.552,,,
33.574,,,
33.595,,,
33.616,,,
33.638,,,
33.659,,,
33.680,,,
33.702,,,
33.723,,,
33.744,,,
33.766,,,
33.787,,,
33.808,,,
33.830,,,
33.851,,,
33.873,,,
33.894,,,
33.915,,,
33.937,,,
33.958,,,
33.979,,,
34.001,,,
34.022,,,
34.043,,,
34.065,,,
34.086,,,
34.107,,,
34.129,,,
34.150,,,
34.172,-6.656,-0.136,-4.623E-2
34.193,,,
34.214,,,
34.236,,,
34.257,,,
34.278,,,
34.300,,,
34.321,,,
34.342,,,
34.364,,,
34.385,,,
34.406,,,
34.428,,,
34.449,,,
34.471,,,
34.492,,,
34.513,,,
34.535,,,
34.556,,,
34.577,,,
34.599,,,
34.620,,,
34.641,,,
34.663,,,
34.684,,,
34.705,,,
34.727,,,
34.748,,,
34.770,,,
34.791,,,
34.812,,,
34.834,,,
34.855,,,
34.876,,,
34.898,,,
34.919,,,
34.940,,,
34.962,,,
34.983,,,
35.005,,,
35.026,-6.769,-0.203,-2.264E-2
35.047,,,
35.069,,,
35.090,,,
35.111,,,
35.133,,,
35.154,,,
35.175,,,
35.197,,,
35.218,,,
35.239,,,
35.261,,,
35.282,,,
35.304,,,
35.325,,,
35.346,,,
35.368,,,
35.389,,,
35.410,,,
35.432,,,
35.453,,,
35.474,,,
35.496,,,
35.517,,,
35.538,,,
35.560,,,
35.581,,,
35.603,,,
35.624,,,
35.645,,,
35.667,,,
35.688,,,
35.709,,,
35.731,,,
35.752,,,
35.773,,,
35.795,,,
35.816,,,
35.837,,,
35.859,,,
35.880,-6.995,-0.197,6.718E-2
35.902,,,
35.923,,,
35.944,,,
35.966,,,
35.987,,,
36.008,,,
36.030,,,
36.051,,,
36.072,,,
36.094,,,
36.115,,,
36.136,,,
36.158,,,
36.179,,,
36.201,,,
36.222,,,
36.243,,,
36.265,,,
36.286,,,
36.307,,,
36.329,,,
36.350,,,
36.371,,,
36.393,,,
36.414,,,
36.435,,,
36.457,,,
36.478,,,
36.500,,,
36.521,,,
36.542,,,
36.564,,,
36.585,,,
36.606,,,
36.628,,,
36.649,,,
36.670,,,
36.692,,,
36.713,,,
36.734,-7.107,-6.532E-2,6.711E-2
36.756,,,
36.777,,,
36.799,,,
36.820,,,
36.841,,,
36.863,,,
36.884,,,
36.905,,,
36.927,,,
36.948,,,
36.969,,,
36.991,,,
37.012,,,
37.033,,,
37.055,,,
37.076,,,
37.098,,,
37.119,,,
37.140,,,
37.162,,,
37.183,,,
37.204,,,
37.226,,,
37.247,,,
37.268,,,
37.290,,,
37.311,,,
37.332,,,
37.354,,,
37.375,,,
37.397,,,
37.418,,,
37.439,,,
37.461,,,
37.482,,,
37.503,,,
37.525,,,
37.546,,,
37.567,,,
37.589,-7.107,-6.720E-2,-2.264E-2
37.610,,,
37.631,,,
37.653,,,
37.674,,,
37.696,,,
37.717,,,
37.738,,,
37.760,,,
37.781,,,
37.802,,,
37.824,,,
37.845,,,
37.866,,,
37.888,,,
37.909,,,
37.930,,,
37.952,,,
37.973,,,
37.995,,,
38.016,,,
38.037,,,
38.059,,,
38.080,,,
38.101,,,
38.123,,,
38.144,,,
38.165,,,
38.187,,,
38.208,,,
38.229,,,
38.251,,,
38.272,,,
38.294,,,
38.315,,,
38.336,,,
38.358,,,
38.379,,,
38.400,,,
38.422,,,
38.443,-7.220,-0.137,-4.635E-2
38.464,,,
38.486,,,
38.507,,,
38.528,,,
38.550,,,
38.571,,,
38.593,,,
38.614,,,
38.635,,,
38.657,,,
38.678,,,
38.699,,,
38.721,,,
38.742,,,
38.763,,,
38.785,,,
38.806,,,
38.827,,,
38.849,,,
38.870,,,
38.892,,,
38.913,,,
38.934,,,
38.956,,,
38.977,,,
38.998,,,
39.020,,,
39.041,,,
39.062,,,
39.084,,,
39.105,,,
39.126,,,
39.148,,,
39.169,,,
39.191,,,
39.212,,,
39.233,,,
39.255,,,
39.276,,,
39.297,-7.333,-0.136,-8.629E-5
39.319,,,
39.340,,,
39.361,,,
39.383,,,
39.404,,,
39.425,,,
39.447,,,
39.468,,,
39.490,,,
39.511,,,
39.532,,,
39.554,,,
39.575,,,
39.596,,,
39.618,,,
39.639,,,
39.660,,,
39.682,,,
39.703,,,
39.724,,,
39.746,,,
39.767,,,
39.789,,,
39.810,,,
39.831,,,
39.853,,,
39.874,,,
39.895,,,
39.917,,,
39.938,,,
39.959,,,
39.981,,,
40.002,,,
40.023,,,
40.045,,,
40.066,,,
40.088,,,
40.109,,,
40.130,,,
40.152,-7.446,-0.135,8.569E-5
40.173,,,
40.194,,,
40.216,,,
40.237,,,
40.258,,,
40.280,,,
40.301,,,
40.322,,,
40.344,,,
40.365,,,
