t,Mass A,x,y,Mass B,x,y
4.65,,1.337827,0.9858438,,0.2768408,0.1585198
4.666667,,1.339814,0.9846518,,0.2768408,0.1493142
4.683333,,1.342595,0.9838572,,0.2768408,0.1429411
4.7,,1.345376,0.9822678,,0.2768408,0.1294866
4.716667,,1.34935,0.9778971,,0.2761326,0.1224054
4.733333,,1.352131,0.9763077,,0.2754245,0.1124916
4.75,,1.35531,0.974321,,0.2747164,0.103286
4.766667,,1.358091,0.9727317,,0.2747164,0.09549657
4.783333,,1.360475,0.9711423,,0.2747164,0.08770717
4.8,,1.362462,0.969553,,0.2740083,0.07566902
4.816667,,1.364449,0.9667716,,0.2740083,0.07071213
4.833333,,1.366833,0.965977,,0.272592,0.06363087
4.85,,1.370011,0.9631956,,0.2733001,0.05513335
4.866667,,1.37319,0.9612089,,0.2733001,0.0430952
4.883333,,1.377561,0.9580302,,0.2733001,0.03601393
4.9,,1.380342,0.9556462,,0.2733001,0.02751641
4.916667,,1.384315,0.9516728,,0.2740083,0.0218514
4.933333,,1.390673,0.9469047,,0.2740083,0.01193762
4.95,,1.393057,0.9457127,,0.2740083,0.005564485
4.966667,,1.39703,0.9421367,,0.2740083,-0.001516781
4.983333,,1.399812,0.9397527,,0.2740083,-0.008598048
5,,1.402593,0.937766,,0.2740083,-0.01497119
5.016667,,1.405374,0.9361766,,0.2754245,-0.02417683
5.033333,,1.407758,0.9345873,,0.2796733,-0.0312581
5.05,,1.41054,0.9333953,,0.2796733,-0.03904749
5.066667,,1.414116,0.9306139,,0.2803814,-0.04966939
5.083333,,1.4165,0.9290245,,0.2817976,-0.06099942
5.1,,1.420473,0.9270379,,0.2832139,-0.0737457
5.116667,,1.42246,0.9254485,,0.2832139,-0.08649198
5.133333,,1.426433,0.9230645,,0.283922,-0.09569762
5.15,,1.42842,0.9214751,,0.2846302,-0.1077358
5.166667,,1.431599,0.9190911,,0.2853383,-0.1226064
5.183333,,1.433983,0.9171044,,0.2853383,-0.1268552
5.2,,1.436367,0.9155151,,0.2853383,-0.1339365
5.216667,,1.439148,0.9135284,,0.2867545,-0.1417259
5.233333,,1.441135,0.9115417,,0.2867545,-0.1495152
5.25,,1.444313,0.9099523,,0.2867545,-0.1573046
5.266667,,1.4463,0.9079656,,0.2867545,-0.1636778
5.283333,,1.449081,0.9055816,,0.2860464,-0.1700509
5.3,,1.450273,0.9043896,,0.2853383,-0.1750078
5.316667,,1.452657,0.9035949,,0.2846302,-0.1820891
5.333333,,1.455836,0.9016082,,0.2846302,-0.1941272
5.35,,1.458618,0.8992242,,0.2846302,-0.2054572
5.366667,,1.462194,0.8968402,,0.2846302,-0.2104141
5.383333,,1.463783,0.8960455,,0.2846302,-0.2167873
5.4,,1.466962,0.8936615,,0.2846302,-0.2238685
5.416667,,1.469346,0.8912775,,0.2846302,-0.2337823
5.433333,,1.47173,0.8892908,,0.283922,-0.242988
5.45,,1.474114,0.8877014,,0.283922,-0.2500692
5.466667,,1.475893,0.8865607,,0.283922,-0.2592749
5.483333,,1.477154,0.885299,,0.2846302,-0.2628155
5.5,,1.479047,0.8846682,,0.2825058,-0.2755618
5.516667,,1.48157,0.8834065,,0.2825058,-0.2883081
5.533333,,1.483463,0.8824602,,0.2825058,-0.2996381
5.55,,1.485986,0.8805677,,0.2832139,-0.3138006
5.566667,,1.487879,0.8793061,,0.2832139,-0.327255
5.583333,,1.490717,0.877729,,0.2832139,-0.3357525
5.6,,1.493241,0.8767827,,0.2832139,-0.3442501
5.616667,,1.495449,0.8748902,,0.2860464,-0.354872
5.633333,,1.497657,0.8736286,,0.2867545,-0.366202
5.65,,1.500495,0.8717361,,0.2867545,-0.3810727
5.666667,,1.503334,0.870159,,0.2867545,-0.4009002
5.683333,,1.504911,0.8695282,,0.2867545,-0.4122302
5.7,,1.506804,0.8679511,,0.2867545,-0.4235602
5.716667,,1.509012,0.8660586,,0.2867545,-0.427809
5.733333,,1.510904,0.8647969,,0.2867545,-0.4377228
5.75,,1.512797,0.8635352,,0.2881708,-0.4511772
5.766667,,1.515951,0.8619581,,0.2888789,-0.4653397
5.783333,,1.517528,0.8610119,,0.2888789,-0.4759616
5.8,,1.520682,0.8581731,,0.2888789,-0.4830429
5.816667,,1.523521,0.8559652,,0.289587,-0.4915404
5.833333,,1.527621,0.8518648,,0.289587,-0.5007461
5.85,,1.531406,0.8480798,,0.289587,-0.5092436
5.866667,,1.532983,0.8468181,,0.2888789,-0.5163248
5.883333,,1.535507,0.8446102,,0.2888789,-0.5234061
5.9,,1.537714,0.8424023,,0.289587,-0.5354443
5.916667,,1.540238,0.8392481,,0.2910033,-0.5432336
5.933333,,1.542761,0.8364094,,0.2910033,-0.5559799
5.95,,1.545039,0.8340608,,0.2917114,-0.5588124
5.966667,,1.546628,0.8334648,,0.2917114,-0.5743912
5.983333,,1.550403,0.8308821,,0.2917114,-0.5850131
6,,1.552787,0.8288954,,0.2917114,-0.5906781
6.016667,,1.555171,0.8271074,,0.2910033,-0.6034244
6.033333,,1.558747,0.8255181,,0.2924195,-0.6140463
6.05,,1.561727,0.8229354,,0.2924195,-0.6239601
6.066667,,1.564309,0.8209487,,0.2945439,-0.6452039
6.083333,,1.567488,0.818962,,0.2959602,-0.6586583
6.1,,1.570071,0.817174,,0.2987927,-0.6699883
6.116667,,1.573249,0.8149886,,0.3023333,-0.6784858
6.133333,,1.574839,0.8132006,,0.3030414,-0.684859
6.15,,1.577819,0.8100219,,0.3065821,-0.6692802
6.166667,,1.581594,0.8074392,,0.311539,-0.6579502
